zcta,tmean,date,day,month,year
06390,-3.599910719831478,01/01/1988,01,01,1988
10001,-1.4638922068099252,01/01/1988,01,01,1988
10002,-1.6374853154840336,01/01/1988,01,01,1988
10003,0.010009652911554867,01/01/1988,01,01,1988
10004,-7.5236701140232345,01/01/1988,01,01,1988
10005,-1.8977184208671485,01/01/1988,01,01,1988
10006,-1.8677485845709332,01/01/1988,01,01,1988
10007,-2.2629860353747158,01/01/1988,01,01,1988
10009,-8.726815858955806,01/01/1988,01,01,1988
10010,-1.25685807722945,01/01/1988,01,01,1988
10011,-2.7025995791691564,01/01/1988,01,01,1988
10012,-1.3699902608334362,01/01/1988,01,01,1988
10013,-1.5005911564646914,01/01/1988,01,01,1988
10014,-8.638517333607856,01/01/1988,01,01,1988
10016,-3.941871660575332,01/01/1988,01,01,1988
10017,-8.92878166151187,01/01/1988,01,01,1988
10018,-2.381057591351639,01/01/1988,01,01,1988
10019,-1.6782733545219874,01/01/1988,01,01,1988
10020,-7.55688669022743,01/01/1988,01,01,1988
10021,-1.4989831315906235,01/01/1988,01,01,1988
10022,-8.278102350985032,01/01/1988,01,01,1988
10023,1.2692007171971182,01/01/1988,01,01,1988
10024,-2.32930088008615,01/01/1988,01,01,1988
10025,-8.977795156575056,01/01/1988,01,01,1988
10026,-6.551255049038541,01/01/1988,01,01,1988
10027,-8.339956657403075,01/01/1988,01,01,1988
10028,-8.839504452846414,01/01/1988,01,01,1988
10029,-8.535158599374101,01/01/1988,01,01,1988
10030,-1.7468379777677807,01/01/1988,01,01,1988
10031,-1.5788758309826825,01/01/1988,01,01,1988
10032,-4.188316549489746,01/01/1988,01,01,1988
10033,1.7477237900952565,01/01/1988,01,01,1988
10034,-2.306093763931699,01/01/1988,01,01,1988
10035,-1.1610011264394933,01/01/1988,01,01,1988
10036,-2.4565689311837593,01/01/1988,01,01,1988
10037,-9.151317838919809,01/01/1988,01,01,1988
10038,-1.482919698368987,01/01/1988,01,01,1988
10039,-5.904266964976544,01/01/1988,01,01,1988
10040,-9.150051695307031,01/01/1988,01,01,1988
10041,1.1941230586373122,01/01/1988,01,01,1988
10044,-8.918146988932673,01/01/1988,01,01,1988
10048,-1.2920392475706308,01/01/1988,01,01,1988
10069,-1.197530339725108,01/01/1988,01,01,1988
10103,-4.923742500890311,01/01/1988,01,01,1988
10111,-1.9350011327023375,01/01/1988,01,01,1988
10112,-8.33327008660454,01/01/1988,01,01,1988
10115,-2.1815993255428836,01/01/1988,01,01,1988
10119,-7.443237512179165,01/01/1988,01,01,1988
10128,-2.1943191829629574,01/01/1988,01,01,1988
10152,-8.458779362978053,01/01/1988,01,01,1988
10153,-5.35090565966463,01/01/1988,01,01,1988
10154,1.1844664385238035,01/01/1988,01,01,1988
10162,-1.132999211388173,01/01/1988,01,01,1988
10165,-3.481691064599283,01/01/1988,01,01,1988
10167,1.16717360361428,01/01/1988,01,01,1988
10169,-5.727024686872962,01/01/1988,01,01,1988
10170,-2.155060708042053,01/01/1988,01,01,1988
10171,-7.359400110368337,01/01/1988,01,01,1988
10172,-5.463819916287034,01/01/1988,01,01,1988
10173,-3.706345552983393,01/01/1988,01,01,1988
10177,1.1725037489951364,01/01/1988,01,01,1988
10271,-5.006223873408348,01/01/1988,01,01,1988
10278,-1.2468529149440533,01/01/1988,01,01,1988
10279,1.923268759994473,01/01/1988,01,01,1988
10280,-2.3866783857260487,01/01/1988,01,01,1988
10282,-3.7356443192212185,01/01/1988,01,01,1988
10301,1.220961956147588,01/01/1988,01,01,1988
10302,-3.6145116714128513,01/01/1988,01,01,1988
10303,-9.262388721140645,01/01/1988,01,01,1988
10304,1.1592880363966152,01/01/1988,01,01,1988
10305,-1.2199780674471228,01/01/1988,01,01,1988
10306,-8.678872722401167,01/01/1988,01,01,1988
10307,-8.787750219983051,01/01/1988,01,01,1988
10308,-5.149230018308464,01/01/1988,01,01,1988
10309,-8.26547689040456,01/01/1988,01,01,1988
10310,-10.207023364537443,01/01/1988,01,01,1988
10312,1.1643869646359961,01/01/1988,01,01,1988
10314,-4.371572974182694,01/01/1988,01,01,1988
10451,0.09014595433095167,01/01/1988,01,01,1988
10452,-2.2697141714654774,01/01/1988,01,01,1988
10453,-9.21749900636299,01/01/1988,01,01,1988
10454,-2.360865920231324,01/01/1988,01,01,1988
10455,0.6825683232121037,01/01/1988,01,01,1988
10456,-5.146353277693215,01/01/1988,01,01,1988
10457,-4.1127601136422784,01/01/1988,01,01,1988
10458,-7.781976680672616,01/01/1988,01,01,1988
10459,-7.481241737795973,01/01/1988,01,01,1988
10460,-1.4567591384227816,01/01/1988,01,01,1988
10461,-1.9700149594113925,01/01/1988,01,01,1988
10462,-8.046822504837948,01/01/1988,01,01,1988
10463,-7.51835831702315,01/01/1988,01,01,1988
10464,-2.397832394717899,01/01/1988,01,01,1988
10465,-7.707661738586585,01/01/1988,01,01,1988
10466,-8.479954478602112,01/01/1988,01,01,1988
10467,-10.161196643742215,01/01/1988,01,01,1988
10468,-7.246386614992583,01/01/1988,01,01,1988
10469,-1.1323208699964107,01/01/1988,01,01,1988
10470,-5.956501834486859,01/01/1988,01,01,1988
10471,-6.4285614212691184,01/01/1988,01,01,1988
10472,-1.9830384633853622,01/01/1988,01,01,1988
10473,-10.070704627253864,01/01/1988,01,01,1988
10474,-7.978479115763006,01/01/1988,01,01,1988
10475,-0.14336310518992015,01/01/1988,01,01,1988
10501,-2.4409647368416967,01/01/1988,01,01,1988
10502,-5.977135996399857,01/01/1988,01,01,1988
10503,-2.0684379894868403,01/01/1988,01,01,1988
10504,-6.1177641759202235,01/01/1988,01,01,1988
10506,-9.30798620083138,01/01/1988,01,01,1988
10507,-7.769118979494977,01/01/1988,01,01,1988
10509,-3.898530233013635,01/01/1988,01,01,1988
10510,-0.19933873995135246,01/01/1988,01,01,1988
10511,-10.009540487265278,01/01/1988,01,01,1988
10512,-8.66191340541881,01/01/1988,01,01,1988
10514,-8.410946516247453,01/01/1988,01,01,1988
10516,-8.853450195769359,01/01/1988,01,01,1988
10518,-2.3431290261192337,01/01/1988,01,01,1988
10519,-7.2943052179678904,01/01/1988,01,01,1988
10520,-2.297254238561727,01/01/1988,01,01,1988
10522,-4.181826397209466,01/01/1988,01,01,1988
10523,-9.1259799068590155,01/01/1988,01,01,1988
10524,-8.028657484247372,01/01/1988,01,01,1988
10526,-8.08932068566378,01/01/1988,01,01,1988
10527,-5.247627736273648,01/01/1988,01,01,1988
10528,0.716285200771055,01/01/1988,01,01,1988
10530,-5.387781941400432,01/01/1988,01,01,1988
10532,-7.283119816322558,01/01/1988,01,01,1988
10533,-9.529450773416691,01/01/1988,01,01,1988
10535,-6.140125463329769,01/01/1988,01,01,1988
10536,-2.2954365807391466,01/01/1988,01,01,1988
10537,-2.9298092544513104,01/01/1988,01,01,1988
10538,-7.016165827886047,01/01/1988,01,01,1988
10541,-3.6354182571469686,01/01/1988,01,01,1988
10543,0.8588538638240099,01/01/1988,01,01,1988
10546,-8.388391232952584,01/01/1988,01,01,1988
10547,0.4761020679252919,01/01/1988,01,01,1988
10548,-8.767133383191506,01/01/1988,01,01,1988
10549,-5.733567409085204,01/01/1988,01,01,1988
10550,-8.64775496980943,01/01/1988,01,01,1988
10552,-6.531886822544075,01/01/1988,01,01,1988
10553,-7.914814056271789,01/01/1988,01,01,1988
10560,-5.141506150383293,01/01/1988,01,01,1988
10562,1.0966386302013336,01/01/1988,01,01,1988
10566,-8.202371275597319,01/01/1988,01,01,1988
10567,-2.3818102836877912,01/01/1988,01,01,1988
10570,-8.982211526604791,01/01/1988,01,01,1988
10573,-2.4203930718064344,01/01/1988,01,01,1988
10576,-2.3587806216398635,01/01/1988,01,01,1988
10577,-7.121864882952286,01/01/1988,01,01,1988
10578,-8.501168515770752,01/01/1988,01,01,1988
10579,-8.853318965772264,01/01/1988,01,01,1988
10580,-6.391681458445777,01/01/1988,01,01,1988
10583,-8.100959598747574,01/01/1988,01,01,1988
10588,-4.463033060024477,01/01/1988,01,01,1988
10589,-9.662784806869459,01/01/1988,01,01,1988
10590,-2.3446612731545615,01/01/1988,01,01,1988
10591,-7.071709246586461,01/01/1988,01,01,1988
10594,-8.60718214670092,01/01/1988,01,01,1988
10595,-9.144040092914855,01/01/1988,01,01,1988
10597,-2.272896428134859,01/01/1988,01,01,1988
10598,-2.396142248682614,01/01/1988,01,01,1988
10601,-9.236646719714262,01/01/1988,01,01,1988
10603,-8.461761680432549,01/01/1988,01,01,1988
10604,-0.06348011479223327,01/01/1988,01,01,1988
10605,-0.9871592979963526,01/01/1988,01,01,1988
10606,-2.4672066532485224,01/01/1988,01,01,1988
10607,-10.9921809073068,01/01/1988,01,01,1988
10701,0.39628895371282064,01/01/1988,01,01,1988
10703,-5.496465214971136,01/01/1988,01,01,1988
10704,-2.340436741948771,01/01/1988,01,01,1988
10705,0.8970222337150388,01/01/1988,01,01,1988
10706,-6.502933047366521,01/01/1988,01,01,1988
10707,-9.46721463867881,01/01/1988,01,01,1988
10708,-8.70921904234053,01/01/1988,01,01,1988
10709,-5.2766066676492525,01/01/1988,01,01,1988
10710,-9.539930415119887,01/01/1988,01,01,1988
10801,-9.711171487536577,01/01/1988,01,01,1988
10803,-6.6569509278476,01/01/1988,01,01,1988
