"zcta","tmean","date","day","month","year"
"35205",6.63056244625663,"01/01/1981","01","01",1981
"35206",6.41863144393495,"01/01/1981","01","01",1981
"35207",6.49957435544387,"01/01/1981","01","01",1981
"35208",6.56747649174436,"01/01/1981","01","01",1981
"35209",6.62817752755649,"01/01/1981","01","01",1981
"35210",6.36452602586926,"01/01/1981","01","01",1981
"35211",6.54460053486772,"01/01/1981","01","01",1981
"35212",6.52930831093339,"01/01/1981","01","01",1981
"35213",6.59796316272763,"01/01/1981","01","01",1981
"35214",6.5516904316814,"01/01/1981","01","01",1981
"35215",6.16124792237348,"01/01/1981","01","01",1981
"35216",6.415396679971,"01/01/1981","01","01",1981
"35217",6.33862728357701,"01/01/1981","01","01",1981
"35218",6.57424040867571,"01/01/1981","01","01",1981
"35221",6.54865708207116,"01/01/1981","01","01",1981
"35222",6.57171338079592,"01/01/1981","01","01",1981
"35223",6.57300739726177,"01/01/1981","01","01",1981
"35224",6.67193720730485,"01/01/1981","01","01",1981
"35226",6.45007205986544,"01/01/1981","01","01",1981
"35228",6.55054335009388,"01/01/1981","01","01",1981
"35229",6.6361627436051,"01/01/1981","01","01",1981
"35233",6.59718478734123,"01/01/1981","01","01",1981
"35234",6.54315557227094,"01/01/1981","01","01",1981
"35235",6.02635486940847,"01/01/1981","01","01",1981
"35242",6.13999648035619,"01/01/1981","01","01",1981
"35243",6.3668702906011,"01/01/1981","01","01",1981
"35244",6.22490249226284,"01/01/1981","01","01",1981
"35254",6.54315196403241,"01/01/1981","01","01",1981
"35401",6.94708834004433,"01/01/1981","01","01",1981
"35404",6.84684752868632,"01/01/1981","01","01",1981
"35405",6.79921814311538,"01/01/1981","01","01",1981
"35406",6.96888671309995,"01/01/1981","01","01",1981
"35441",6.85772184941499,"01/01/1981","01","01",1981
"35442",7.21066150088555,"01/01/1981","01","01",1981
"35443",7.3590826946709,"01/01/1981","01","01",1981
"35444",7.15500597260563,"01/01/1981","01","01",1981
"35446",6.90112312895551,"01/01/1981","01","01",1981
"35447",7.06813023782695,"01/01/1981","01","01",1981
"35452",6.91085385653078,"01/01/1981","01","01",1981
"35453",6.71325072849224,"01/01/1981","01","01",1981
"35456",6.56021968616197,"01/01/1981","01","01",1981
"35457",6.86978332198979,"01/01/1981","01","01",1981
"35458",6.79608784065841,"01/01/1981","01","01",1981
"35459",7.71789516736378,"01/01/1981","01","01",1981
"35460",7.46471717155119,"01/01/1981","01","01",1981
"35461",7.09253253451957,"01/01/1981","01","01",1981
"35462",7.23492638841844,"01/01/1981","01","01",1981
"35463",6.89165092189944,"01/01/1981","01","01",1981
"35464",7.91982318786603,"01/01/1981","01","01",1981
"35466",6.89026690696144,"01/01/1981","01","01",1981
"35469",6.98384201476138,"01/01/1981","01","01",1981
"35470",7.01893374941043,"01/01/1981","01","01",1981
"35473",6.98059718481103,"01/01/1981","01","01",1981
"35474",6.6693916537932,"01/01/1981","01","01",1981
"35475",6.82642149602199,"01/01/1981","01","01",1981
"35476",7.02541344139257,"01/01/1981","01","01",1981
"35477",7.62318840344373,"01/01/1981","01","01",1981
"35480",6.99063722685737,"01/01/1981","01","01",1981
"35481",6.95475554553687,"01/01/1981","01","01",1981
"35490",6.73285696544527,"01/01/1981","01","01",1981
"35501",5.97662057203676,"01/01/1981","01","01",1981
"35503",5.36360072096188,"01/01/1981","01","01",1981
"35504",5.69078076038641,"01/01/1981","01","01",1981
"35540",5.23608830421555,"01/01/1981","01","01",1981
"35541",5.31871137734445,"01/01/1981","01","01",1981
"35542",5.61545224817571,"01/01/1981","01","01",1981
"35543",5.42528484371263,"01/01/1981","01","01",1981
"35544",5.12145370668216,"01/01/1981","01","01",1981
"35545",6.33389785051638,"01/01/1981","01","01",1981
"35546",6.21550819621569,"01/01/1981","01","01",1981
"35548",4.88433135231855,"01/01/1981","01","01",1981
"35549",5.24769466201557,"01/01/1981","01","01",1981
"35550",6.22131240908342,"01/01/1981","01","01",1981
"35552",5.47777656501062,"01/01/1981","01","01",1981
"35553",5.05128123836258,"01/01/1981","01","01",1981
"35554",4.97023208237892,"01/01/1981","01","01",1981
"35555",6.08154343661731,"01/01/1981","01","01",1981
"35559",4.81748416057822,"01/01/1981","01","01",1981
"35563",4.71075634695487,"01/01/1981","01","01",1981
"35564",5.25071260537917,"01/01/1981","01","01",1981
"35565",5.50944284823104,"01/01/1981","01","01",1981
"35570",4.90702478284609,"01/01/1981","01","01",1981
"35571",5.34149684608547,"01/01/1981","01","01",1981
"35572",5.3104685992915,"01/01/1981","01","01",1981
"35574",6.2487337688213,"01/01/1981","01","01",1981
"35575",4.97209467379478,"01/01/1981","01","01",1981
"35576",6.61035038813587,"01/01/1981","01","01",1981
"35577",5.18018112723235,"01/01/1981","01","01",1981
"35578",5.00829166877506,"01/01/1981","01","01",1981
"35579",6.75630475770516,"01/01/1981","01","01",1981
"35580",6.57750444060981,"01/01/1981","01","01",1981
"35581",5.37170186811043,"01/01/1981","01","01",1981
"35582",5.84508628958743,"01/01/1981","01","01",1981
"35584",6.14738399219269,"01/01/1981","01","01",1981
"35585",5.13614643277247,"01/01/1981","01","01",1981
"35586",5.79526704420265,"01/01/1981","01","01",1981
"35587",5.74480678624284,"01/01/1981","01","01",1981
"35592",5.79423032545088,"01/01/1981","01","01",1981
"35593",5.63686661327268,"01/01/1981","01","01",1981
"35594",4.77425319300598,"01/01/1981","01","01",1981
"35601",5.96477546433945,"01/01/1981","01","01",1981
"35603",5.80875024480503,"01/01/1981","01","01",1981
"35610",5.3128730375153,"01/01/1981","01","01",1981
"35611",5.61976183393645,"01/01/1981","01","01",1981
"35613",5.25695882101796,"01/01/1981","01","01",1981
"35614",5.34292643080832,"01/01/1981","01","01",1981
"35615",5.84416039317733,"01/01/1981","01","01",1981
"35616",5.99476002880455,"01/01/1981","01","01",1981
"35618",6.04094423796594,"01/01/1981","01","01",1981
"35619",5.70493079379775,"01/01/1981","01","01",1981
"35620",5.26615283915083,"01/01/1981","01","01",1981
"35621",5.87661274055945,"01/01/1981","01","01",1981
"35622",5.69025507797536,"01/01/1981","01","01",1981
"35630",6.42087219655918,"01/01/1981","01","01",1981
"35633",6.03795137430521,"01/01/1981","01","01",1981
"35634",5.88581997078351,"01/01/1981","01","01",1981
"35640",5.71247610942287,"01/01/1981","01","01",1981
"35643",5.98354873265332,"01/01/1981","01","01",1981
"35645",5.91182425259609,"01/01/1981","01","01",1981
"35646",6.44400020178409,"01/01/1981","01","01",1981
"35647",5.30993060143949,"01/01/1981","01","01",1981
"35648",5.4790203343222,"01/01/1981","01","01",1981
"35649",5.89672779170287,"01/01/1981","01","01",1981
"35650",5.81950268738878,"01/01/1981","01","01",1981
"35651",5.88313348929761,"01/01/1981","01","01",1981
"35652",5.8494575975808,"01/01/1981","01","01",1981
"35653",5.145943714111,"01/01/1981","01","01",1981
"35654",5.23200130029169,"01/01/1981","01","01",1981
"35660",6.66722232328571,"01/01/1981","01","01",1981
"35661",6.65973979236915,"01/01/1981","01","01",1981
"35670",5.72017734109526,"01/01/1981","01","01",1981
"35671",5.849836653959,"01/01/1981","01","01",1981
"35672",6.25720262329326,"01/01/1981","01","01",1981
"35673",5.7418247316109,"01/01/1981","01","01",1981
"35674",5.85207877103359,"01/01/1981","01","01",1981
"35677",6.10999720930169,"01/01/1981","01","01",1981
"35739",5.20241462751584,"01/01/1981","01","01",1981
"35740",3.97800276271228,"01/01/1981","01","01",1981
"35741",4.89726653646189,"01/01/1981","01","01",1981
"35744",3.87751485560441,"01/01/1981","01","01",1981
"35745",4.35575490509883,"01/01/1981","01","01",1981
"35746",3.97765455426027,"01/01/1981","01","01",1981
"35747",5.23040116751779,"01/01/1981","01","01",1981
"35748",5.29989637946975,"01/01/1981","01","01",1981
"35749",5.1980214951216,"01/01/1981","01","01",1981
"35750",5.31146442696016,"01/01/1981","01","01",1981
"35751",4.84604034661441,"01/01/1981","01","01",1981
"35752",4.64460439026197,"01/01/1981","01","01",1981
"35754",5.71470924699319,"01/01/1981","01","01",1981
"35755",5.36237085063512,"01/01/1981","01","01",1981
"35756",5.74783759425803,"01/01/1981","01","01",1981
"35757",5.20011042109097,"01/01/1981","01","01",1981
"35758",5.48095914792743,"01/01/1981","01","01",1981
"35759",5.32820001324407,"01/01/1981","01","01",1981
"35760",5.44509711173608,"01/01/1981","01","01",1981
"35761",5.10189264369538,"01/01/1981","01","01",1981
"35763",5.27431818864664,"01/01/1981","01","01",1981
"35764",5.17888334588391,"01/01/1981","01","01",1981
"35765",3.46182733429241,"01/01/1981","01","01",1981
"35766",4.28221104239259,"01/01/1981","01","01",1981
"35768",4.19046151574072,"01/01/1981","01","01",1981
"35769",5.11066000294215,"01/01/1981","01","01",1981
"35771",4.49258293351078,"01/01/1981","01","01",1981
"35772",3.89903547775642,"01/01/1981","01","01",1981
"35773",5.2045131196266,"01/01/1981","01","01",1981
"35774",4.6579154611054,"01/01/1981","01","01",1981
"35775",5.64049384526839,"01/01/1981","01","01",1981
"35776",5.05827295664755,"01/01/1981","01","01",1981
"35801",5.05960829981216,"01/01/1981","01","01",1981
"35802",5.24958414568946,"01/01/1981","01","01",1981
"35803",5.33104505394271,"01/01/1981","01","01",1981
"35805",5.53031804550675,"01/01/1981","01","01",1981
"35806",5.28296306412031,"01/01/1981","01","01",1981
