point_id,long,lat
357,-93,90
358,-92.25,90
359,-91.5,90
360,-90.75,90
361,-90,90
362,-89.25,90
363,-88.5,90
364,-87.75,90
365,-87,90
366,-86.25,90
367,-85.5,90
368,-84.75,90
369,-84,90
370,-83.25,90
371,-82.5,90
372,-81.75,90
373,-81,90
374,-80.25,90
375,-79.5,90
376,-78.75,90
377,-78,90
378,-77.25,90
379,-76.5,90
380,-75.75,90
381,-75,90
382,-74.25,90
383,-73.5,90
384,-72.75,90
385,-72,90
386,-71.25,90
387,-70.5,90
388,-69.75,90
389,-69,90
390,-68.25,90
391,-67.5,90
392,-66.75,90
393,-66,90
394,-65.25,90
395,-64.5,90
396,-63.75,90
397,-63,90
398,-62.25,90
399,-61.5,90
400,-60.75,90
401,-60,90
402,-59.25,90
403,-58.5,90
404,-57.75,90
405,-57,90
406,-56.25,90
407,-55.5,90
408,-54.75,90
409,-54,90
410,-53.25,90
411,-52.5,90
412,-51.75,90
413,-51,90
414,-50.25,90
415,-49.5,90
416,-48.75,90
417,-48,90
418,-47.25,90
419,-46.5,90
420,-45.75,90
421,-45,90
422,-44.25,90
423,-43.5,90
424,-42.75,90
425,-42,90
426,-41.25,90
427,-40.5,90
428,-39.75,90
429,-39,90
430,-38.25,90
431,-37.5,90
432,-36.75,90
433,-36,90
434,-35.25,90
435,-34.5,90
436,-33.75,90
437,-33,90
438,-32.25,90
439,-31.5,90
440,-30.75,90
441,-30,90
442,-29.25,90
443,-28.5,90
444,-27.75,90
445,-27,90
446,-26.25,90
447,-25.5,90
448,-24.75,90
449,-24,90
450,-23.25,90
451,-22.5,90
452,-21.75,90
453,-21,90
454,-20.25,90
455,-19.5,90
456,-18.75,90
457,-18,90
458,-17.25,90
459,-16.5,90
460,-15.75,90
461,-15,90
462,-14.25,90
463,-13.5,90
464,-12.75,90
465,-12,90
466,-11.25,90
467,-10.5,90
468,-9.75,90
469,-9,90
470,-8.25,90
471,-7.5,90
472,-6.75,90
473,-6,90
474,-5.25,90
475,-4.5,90
476,-3.75,90
477,-3,90
478,-2.25,90
479,-1.5,90
480,-0.75,90
481,0,89.25
482,0.75,89.25
483,1.5,89.25
484,2.25,89.25
485,3,89.25
486,3.75,89.25
487,4.5,89.25
488,5.25,89.25
489,6,89.25
490,6.75,89.25
491,7.5,89.25
492,8.25,89.25
493,9,89.25
494,9.75,89.25
495,10.5,89.25
496,11.25,89.25
497,12,89.25
498,12.75,89.25
499,13.5,89.25
500,14.25,89.25
501,15,89.25
502,15.75,89.25
503,16.5,89.25
504,17.25,89.25
505,18,89.25
506,18.75,89.25
507,19.5,89.25
508,20.25,89.25
509,21,89.25
510,21.75,89.25
511,22.5,89.25
512,23.25,89.25
513,24,89.25
514,24.75,89.25
515,25.5,89.25
516,26.25,89.25
517,27,89.25
518,27.75,89.25
519,28.5,89.25
520,29.25,89.25
521,30,89.25
522,30.75,89.25
523,31.5,89.25
524,32.25,89.25
525,33,89.25
526,33.75,89.25
527,34.5,89.25
528,35.25,89.25
529,36,89.25
530,36.75,89.25
531,37.5,89.25
532,38.25,89.25
533,39,89.25
534,39.75,89.25
535,40.5,89.25
536,41.25,89.25
537,42,89.25
538,42.75,89.25
539,43.5,89.25
540,44.25,89.25
541,45,89.25
542,45.75,89.25
543,46.5,89.25
544,47.25,89.25
545,48,89.25
546,48.75,89.25
547,49.5,89.25
548,50.25,89.25
549,51,89.25
550,51.75,89.25
551,52.5,89.25
552,53.25,89.25
553,54,89.25
554,54.75,89.25
555,55.5,89.25
556,56.25,89.25
557,57,89.25
558,57.75,89.25
559,58.5,89.25
560,59.25,89.25
561,60,89.25
562,60.75,89.25
563,61.5,89.25
564,62.25,89.25
565,63,89.25
566,63.75,89.25
567,64.5,89.25
568,65.25,89.25
569,66,89.25
570,66.75,89.25
571,67.5,89.25
572,68.25,89.25
573,69,89.25
574,69.75,89.25
575,70.5,89.25
576,71.25,89.25
577,72,89.25
578,72.75,89.25
579,73.5,89.25
580,74.25,89.25
581,75,89.25
582,75.75,89.25
583,76.5,89.25
584,77.25,89.25
585,78,89.25
