Merged_county_ID,Fips_codes
296,"17181, 17077 "
297,"17165, 17055 "
298,"17133, 17163 "
299,"17135, 17021 "
300,17075
301,"17025, 17191, 17051, 17049"
302,"17057, 17095 "
303,"17105, 17099 "
304,"17063, 17093 "
305,"17081, 17121 "
306,"17007, 17037 "
307,18005
308,18019
309,18035
310,18039
311,18043
312,18057
313,18081
314,18085
315,18089
316,18091
317,18095
318,18097
319,18105
320,18127
321,18141
322,18157
323,18163
324,18173
325,"18161, 18041, 18139, 18031"
326,"18007, 18111, 18073 "
327,"18155, 18137, 18079 "
328,"18101, 18117, 18025, 18123"
329,"18125, 18027, 18083 "
330,"18165, 18167 "
331,"18159, 18067, 18015 "
332,"18147, 18037 "
333,"18115, 18029, 18047 "
334,"18143, 18077 "
335,"18181, 18017 "
336,"18129, 18051 "
337,"18175, 18061 "
338,"18179, 18003, 18183 "
339,"18169, 18103 "
340,"18171, 18045, 18121, 18107, 18023"
341,"18153, 18021, 18119, 18055"
342,"18151, 18087 "
343,"18009, 18075, 18135, 18001"
344,"18013, 18109, 18133 "
345,"18069, 18053 "
346,"18033, 18113 "
347,"18071, 18093 "
348,"18145, 18059 "
349,"18011, 18063 "
350,"18131, 18049, 18149, 18099"
351,"18065, 18177 "
352,19113
353,19153
354,19163
355,19169
356,19193
357,"19071, 19137, 19029, 19165, 19145"
358,"19133, 19047, 19161, 19021"
359,"19107, 19095, 19101, 19171"
360,"19197, 19079, 19109, 19015"
361,"19085, 19155, 19129 "
362,"19143, 19119, 19141, 19035, 19093, 19059, 19041 "
363,"19031, 19139 "
364,"19157, 19123, 19125 "
365,"19105, 19061 "
366,"19097, 19045 "
367,"19003, 19159, 19173, 19001, 19009, 19053, 19185, 19135, 19027"
368,"19195, 19189, 19131, 19089, 19081, 19069, 19191 "
369,"19005, 19043, 19055, 19065, 19019"
370,"19075, 19013, 19017 "
371,"19149, 19167 "
372,"19183, 19103, 19011 "
373,"19177, 19051, 19007, 19117, 19039, 19175, 19179 "
374,"19151, 19147, 19025, 19073, 19091, 19063, 19187 "
375,"19099, 19127 "
376,"19115, 19087, 19111, 19057"
377,"19077, 19121, 19049, 19181"
378,"19037, 19023, 19067, 19083, 19033"
379,20045
380,20091
381,20155
382,20161
383,20173
384,20177
385,20209
386,"20123, 20029, 20027, 20041, 20061"
387,20043
388,"20013, 20131, 20117, 20005, 20149"
389,"20085, 20087, 20103 "
390,"20021, 20037 "
391,"20089, 20141, 20105, 20183, 20157, 20163, 20147, 20137, 20053, 20201, 20143, 20009"
392,"20165, 20145, 20185, 20167, 20151, 20007, 20077, 20095, 20159, 20051 "
393,"20197, 20139, 20059, 20107, 20121"
394,"20113, 20169 "
395,"20093, 20081, 20119, 20171, 20189, 20069, 20067, 20175, 20057"
396,"20191, 20015, 20079 "
397,"20001, 20011, 20133, 20099, 20125"
398,"20071, 20199, 20203, 20075, 20187, 20109, 20063, 20101, 20179, 20065, 20039, 20153, 20023, 20195, 20135, 20083, 20047, 20097, 20033, 20025, 20129, 20181, 20193, 20055"
399,"20049, 20019, 20073, 20017, 20207, 20127, 20003, 20031, 20205, 20115, 20111, 20035"
400,21015
401,21029
402,21037
403,21067
404,21111
405,21117
406,21145
407,21151
408,21195
409,"21105, 21039, 21075, 21007, 21083"
410,"21057, 21053, 21169, 21171, 21087, 21207 "
411,"21077, 21081, 21191, 21023"
412,"21091, 21059 "
413,"21149, 21233, 21101 "
414,"21041, 21187, 21073 "
415,"21215, 21179, 21123 "
416,"21061, 21227 "
417,"21219, 21141, 21031, 21213"
418,"21221, 21047 "
419,"21153, 21025, 21119, 21115"
420,"21069, 21135, 21161, 21043"
421,"21147, 21231, 21235 "
422,"21099, 21085, 21027 "
423,"21003, 21009 "
424,"21201, 21181, 21011, 21165, 21237, 21129, 21189, 21175, 21197, 21173, 21097 "
425,"21079, 21203, 21167, 21005"
426,"21229, 21155, 21045, 21001, 21217"
427,"21239, 21113 "
428,"21183, 21177 "
429,"21137, 21021, 21199 "
430,"21133, 21095, 21013 "
431,"21163, 21093 "
432,"21131, 21051, 21109, 21065, 21193"
433,"21157, 21035 "
434,"21121, 21125 "
435,"21017, 21209, 21049 "
436,"21089, 21019 "
437,"21063, 21127, 21159, 21205, 21071"
438,"21223, 21103, 21211, 21185"
439,"21143, 21055, 21139, 21033, 21225, 21107 "
440,22001
441,22005
442,22015
443,22033
444,22045
445,22051
446,22055
447,22057
448,22063
449,22097
450,22103
451,22109
452,22113
453,"22107, 22025, 22021, 22065, 22035, 22123 "
454,"22023, 22019 "
455,"22081, 22013, 22127, 22059"
456,"22091, 22037, 22125, 22121"
457,"22027, 22119 "
458,"22049, 22061 "
459,"22087, 22075, 22071 "
460,"22043, 22079 "
461,"22083, 22041, 22067 "
462,"22029, 22009 "
463,"22093, 22007, 22101 "
464,"22111, 22073 "
465,"22085, 22069 "
466,"22031, 22017 "
467,"22011, 22115 "
468,"22003, 22053, 22039 "
469,"22095, 22089 "
470,"22117, 22105 "
471,"22077, 22047, 22099 "
472,23003
473,23005
474,23011
475,23019
476,23031
477,"23021, 23025 "
478,"23007, 23017 "
479,"23029, 23009 "
480,"23023, 23001 "
481,"23015, 23027, 23013 "
482,24001
483,24003
484,24005
485,24009
486,24013
487,24015
488,24017
489,24021
490,24025
491,24027
492,24037
493,24043
494,24510
495,24029
496,"24039, 24045 "
497,24023
498,"24019, 24011, 24041 "
499,24035
500,24047
501,"24031, 24033 "
502,25001
503,25003
504,25005
505,25009
506,25011
507,25013
508,25015
509,25017
510,25021
511,25023
512,25025
513,25027
514,"25019, 25007 "
515,26005
516,26015
517,26017
518,26021
519,26025
520,26027
521,26037
522,26045
523,26049
524,26055
525,26065
526,26067
527,26073
528,26075
529,26077
530,26081
531,26087
532,26091
533,26093
534,26099
535,26103
536,26111
537,26115
538,26125
539,26139
540,26145
541,26147
542,26149
543,26155
544,26157
545,26159
546,26161
547,26163
548,"26095, 26153, 26003, 26097, 26033"
549,"26085, 26133, 26113, 26079"
550,"26083, 26061, 26131, 26013, 26071, 26053 "
551,"26011, 26129, 26143 "
552,"26009, 26137, 26031 "
553,"26109, 26043, 26041 "
554,"26029, 26047 "
555,"26127, 26105 "
556,"26135, 26119, 26001, 26141, 26039, 26069, 26007 "
557,"26019, 26089, 26101, 26165"
558,"26063, 26151 "
559,"26057, 26117 "
560,"26051, 26035, 26107 "
561,"26023, 26059 "
562,"26123, 26121 "
563,27003
564,27019
565,27035
566,27037
567,27053
568,27111
569,27123
570,27139
571,27145
572,27163
573,27171
574,"27077, 27071, 27135, 27069, 27089, 27113, 27125 "
575,"27031, 27075 "
576,"27121, 27041, 27153 "
577,"27165, 27091, 27043, 27161"
578,"27023, 27129, 27143, 27127"
579,27055
580,"27081, 27117, 27101, 27133, 27033, 27063, 27105 "
581,"27039, 27109, 27157 "
582,"27155, 27011, 27051, 27167, 27073, 27151, 27149, 27173, 27083"
583,"27065, 27001, 27095, 27115"
584,"27015, 27103 "
585,"27079, 27013 "
586,"27021, 27097 "
587,"27087, 27107, 27029, 27057, 27159, 27005 "
588,"27047, 27147 "
589,"27059, 27025 "
590,27119
591,"27017, 27137 "
592,"27009, 27141 "
593,"27007, 27061 "
594,"27093, 27085, 27067 "
595,"27049, 27131 "
596,"27045, 27099, 27169 "
597,27027
598,28033
599,28047
600,28049
601,28059
602,28067
603,28075
604,28081
605,28089
606,28121
607,"28063, 28037, 28157, 28021, 28005, 28001 "
608,"28019, 28159, 28069, 28103, 28007"
609,"28143, 28137, 28093 "
610,"28065, 28077, 28147, 28031"
611,"28111, 28131, 28039, 28045"
612,"28017, 28025, 28115 "
613,"28141, 28057, 28117 "
614,"28043, 28083, 28133 "
615,"28027, 28011 "
616,"28091, 28109 "
617,"28163, 28149 "
618,"28127, 28029 "
619,"28129, 28101, 28079, 28099"
620,"28041, 28153, 28023, 28061, 28123"
621,"28085, 28113 "
622,"28107, 28071 "
623,"28009, 28139, 28145, 28003"
624,"28095, 28087 "
625,"28073, 28035 "
626,"28119, 28135, 28161, 28013, 28155, 28105 "
627,"28055, 28125, 28053, 28051, 28015, 28097, 28151 "
628,29021
629,29043
630,29047
631,29077
632,29095
633,29097
634,29099
635,29165
636,29183
637,29187
638,29189
639,29510
640,"29227, 29075, 29061, 29081, 29129, 29171, 29197, 29199, 29103, 29205, 29087, 29005, 29147"
641,"29211, 29079, 29115, 29041, 29033, 29117 "
642,"29125, 29073, 29139, 29163"
643,"29025, 29063, 29003, 29049"
644,"29173, 29007, 29175 "
645,"29089, 29019 "
646,"29017, 29223, 29157, 29186"
647,"29133, 29143, 29155, 29207"
648,"29151, 29027 "
649,"29135, 29051 "
650,"29065, 29055, 29161 "
651,"29045, 29111, 29127, 29137, 29121, 29001 "
